No.,级别,词语,拼音,词性
2035,五级,抱怨,bàoyuàn,动
2036,五级,背,bèi,名、动、形
2037,五级,背后,bèihòu,名
2038,五级,背景,bèijǐng,名
2039,五级,被子,bèizi,名
2040,五级,本2,běn,副、代
2041,五级,本地,běndì,名
2042,五级,本领,běnlǐng,名
2043,五级,本人,běnrén,代
2044,五级,本质,běnzhì,名
2045,五级,彼此,bǐcǐ,代
2046,五级,比分,bǐfēn,名
2047,五级,比例,bǐlì,名
2048,五级,比喻,bǐyù,动、名
2049,五级,必,bì,副
2050,五级,毕竟,bìjìng,副
2051,五级,避免,bìmiǎn,动
2052,五级,闭幕式,bìmùshì,名
2053,五级,必然,bìrán,形、名
2054,五级,必需,bìxū,动
2055,五级,必要,bìyào,形
2056,五级,便,biàn,副
2057,五级,变动,biàndòng,动
2058,五级,便利,biànlì,形、动
2059,五级,便利店,biànlìdiàn,名
2060,五级,标题,biāotí,名
2061,五级,标志,biāozhì,名、动
2062,五级,表达,biǎodá,动
2063,五级,表面,biǎomiàn,名
2064,五级,表明,biǎomíng,动
2065,五级,表情,biǎoqíng,名
2066,五级,别2,bié,动
2067,五级,饼,bǐng,名
2068,五级,病房,bìngfáng,名
2069,五级,病情,bìngqíng,名
2070,五级,拨打,bōdǎ,动
2071,五级,玻璃,bōli,名
2072,五级,博物馆,bówùguǎn,名
2073,五级,不利,búlì,形
2074,五级,不幸,búxìng,形、名
2075,五级,不要紧,búyàojǐn,形
2076,五级,补充,bǔchōng,动
2077,五级,不得了,bùdéliǎo,形
2078,五级,不符,bùfú,动
2079,五级,不良,bùliáng,形
2080,五级（七-九级）,不然,bùrán,连、（形）
2081,五级,步行,bùxíng,动
2082,五级,不足,bùzú,动、名
2083,五级,才2,cái,名
2084,五级,裁判,cáipàn,动、名
2085,五级,采访,cǎifǎng,动
2086,五级,采取,cǎiqǔ,动
2087,五级,彩色,cǎisè,名
2088,五级,采用,cǎiyòng,动
2089,五级,参考,cānkǎo,动
2090,五级,餐饮,cānyǐn,名
2091,五级,参与,cānyù,动
2092,五级,藏,cáng,动
2093,五级,操作,cāozuò,动
2094,五级,册,cè,量
2095,五级,测,cè,动
2096,五级,测试,cèshì,动
2097,五级,曾,céng,副
2098,五级,曾经,céngjīng,副
2099,五级,插,chā,动
2100,五级,差别,chābié,名
2101,五级,差距,chājù,名
2102,五级,叉子,chāzi,名
2103,五级,拆,chāi,动
2104,五级,产,chǎn,动
2105,五级,产量,chǎnliàng,名
2106,五级,产品,chǎnpǐn,名
2107,五级,产业,chǎnyè,名
2108,五级,长处,chángchù,名
2109,五级,长度,chángdù,名
2110,五级,长久,chángjiǔ,形
2111,五级,长期,chángqī,名、形
2112,五级,常识,chángshí,名
2113,五级,尝试,chángshì,动
2114,五级,长途,chángtú,形
2115,五级,长远,chángyuǎn,形
2116,五级,场所,chǎngsuǒ,名
2117,五级,超,chāo,动
2118,五级,超出,chāochū,动
2119,五级,超级,chāojí,形
2120,五级,超速,chāosù,动
2121,五级,朝,cháo,动、介
2122,五级,吵,chǎo,形、动
2123,五级,炒,chǎo,动
2124,五级,车祸,chēhuò,名
2125,五级,车库,chēkù,名
2126,五级,车辆,chēliàng,名
2127,五级,车厢,chēxiāng,名
2128,五级,车主,chēzhǔ,名
2129,五级,彻底,chèdǐ,形
2130,五级,沉,chén,动、形
2131,五级,沉默,chénmò,动
2132,五级,称1,chēng,动
2133,五级,称2,chēng,动
2134,五级,称为,chēngwéi,动
2135,五级,称赞,chēngzàn,动
2136,五级,成本,chéngběn,名
2137,五级,承担,chéngdān,动
2138,五级,程度,chéngdù,名
2139,五级,成分,chéngfèn,名
2140,五级,成果,chéngguǒ,名
2141,五级,成就,chéngjiù,名、动
2142,五级,成立,chénglì,动
2143,五级,成年1,chéngnián,动
2144,五级,城区,chéngqū,名
2145,五级,成人,chéngrén,动、名
2146,五级,承认,chéngrèn,动
2147,五级,承受,chéngshòu,动
2148,五级,成熟,chéngshú,动、形
2149,五级,乘务员,chéngwùyuán,名
2150,五级,程序,chéngxù,名
2151,五级,成员,chéngyuán,名
2152,五级,成长,chéngzhǎng,动
2153,五级,橙子,chéngzi,名
2154,五级,池,chí,名
2155,五级,持续,chíxù,动
2156,五级,尺子,chǐzi,名
2157,五级,翅膀,chìbǎng,名
2158,五级,冲,chōng,动
2159,五级,充电,chōngdiàn,动
2160,五级,充分,chōngfèn,形
2161,五级,充满,chōngmǎn,动
2162,五级,充值,chōngzhí,动
2163,五级,充足,chōngzú,形
2164,五级,重复,chóngfù,动
2165,五级,虫子,chóngzi,名
2166,五级,宠物,chǒngwù,名
2167,五级,抽,chōu,动
2168,五级,丑,chǒu,形
2169,五级,臭,chòu,形
2170,五级,初,chū,名、副、前缀
2171,五级,出版,chūbǎn,动
2172,五级,初级,chūjí,形
2173,五级,初期,chūqī,名
2174,五级,出色,chūsè,形
2175,五级,出售,chūshòu,动
2176,五级,出席,chūxí,动
2177,五级,出自,chūzì,动
2178,五级,除夕,chúxī,名
2179,五级,处,chǔ,动
2180,五级,处理,chǔlǐ,动
2181,五级,处于,chǔyú,动
2182,五级,处,chù,名
2183,五级,传,chuán,动
2184,五级,传播,chuánbō,动
2185,五级,传递,chuándì,动
2186,五级,传说,chuánshuō,动、名
2187,五级,传统,chuántǒng,名、形
2188,五级,窗台,chuāngtái,名
2189,五级,床单,chuángdān,名
2190,五级,创新,chuàngxīn,动、名
2191,五级,创业,chuàngyè,动
2192,五级,创造,chuàngzào,动
2193,五级,创作,chuàngzuò,动、名
2194,五级,词汇,cíhuì,名
2195,五级,辞职,cízhí,动
2196,五级,此后,cǐhòu,名
2197,五级,此前,cǐqián,名
2198,五级,此时,cǐshí,名
2199,五级,刺激,cìjī,动、名
2200,五级,从不,cóng bù,
2201,五级,从而,cóng’ér,连
2202,五级,从前,cóngqián,名
2203,五级,从事,cóngshì,动
2204,五级,促进,cùjìn,动
2205,五级,促使,cùshǐ,动
2206,五级,促销,cùxiāo,动
2207,五级,催,cuī,动
2208,五级,存放,cúnfàng,动
2209,五级,存款,cúnkuǎn,动、名
2210,五级,存在,cúnzài,动
2211,五级,措施,cuòshī,名
2212,五级,达成,dáchéng,动
2213,五级,打扮,dǎban,动
2214,五级,打包,dǎbāo,动
2215,五级,打断,dǎduàn,动
2216,五级,打破,dǎpò,动
2217,五级,打听,dǎting,动
2218,五级,大胆,dàdǎn,形
2219,五级,大多,dàduō,副
2220,五级,大会,dàhuì,名
2221,五级,大力,dàlì,名、副
2222,五级,大妈,dàmā,名
2223,五级,大米,dàmǐ,名
2224,五级,大脑,dànǎo,名
2225,五级,大批,dàpī,形
2226,五级,大厦,dàshà,名
2227,五级,大事,dàshì,名
2228,五级,大象,dàxiàng,名
2229,五级,大型,dàxíng,形
2230,五级,大爷,dàye,名
2231,五级,大于,dàyú,动
2232,五级,大众,dàzhòng,名
2233,五级,代,dài,动、名
2234,五级,代表,dàibiǎo,名、动
2235,五级,带动,dàidòng,动
2236,五级,代替,dàitì,动
2237,五级,待遇,dàiyù,名
2238,五级,单,dān,形、副、名、量
2239,五级,单独,dāndú,副
2240,五级,担任,dānrèn,动
2241,五级,单一,dānyī,形
2242,五级,单元,dānyuán,名
2243,五级,胆小,dǎnxiǎo,形
2244,五级,淡,dàn,形
2245,五级,当地,dāngdì,名
2246,五级,当年,dāngnián,名
2247,五级,当前,dāngqián,动、名
2248,五级,当中,dāngzhōng,名
2249,五级,挡,dǎng,动
2250,五级,当,dàng,动
2251,五级,当成,dàngchéng,动
2252,五级,当作,dàngzuò,动
2253,五级,倒,dǎo,动
2254,五级,导演,dǎoyǎn,动、名
2255,五级,导致,dǎozhì,动
2256,五级,到达,dàodá,动
2257,五级,道理,dàolǐ,名
2258,五级,到期,dàoqī,动
2259,五级,登,dēng,动
2260,五级,灯光,dēngguāng,名
2261,五级,登记,dēngjì,动
2262,五级,登录,dēnglù,动
2263,五级,等待,děngdài,动
2264,五级,等候,děnghòu,动
2265,五级,等于,děngyú,动
2266,五级,低头,dītóu,动
2267,五级,的确,díquè,副
2268,五级,敌人,dírén,名
2269,五级,递,dì,动
2270,五级,地理,dìlǐ,名
2271,五级,地面,dìmiàn,名
2272,五级,地区,dìqū,名
2273,五级,地位,dìwèi,名
2274,五级,地下,dìxià,名、形
2275,五级,地震,dìzhèn,动
2276,五级,点心,diǎnxin,名
2277,五级,点赞,diǎnzàn,动
2278,五级,电池,diànchí,名
2279,五级,电动,diàndòng,形
2280,五级,电器,diànqì,名
2281,五级,电商,diànshāng,名
2282,五级,电视台,diànshìtái,名
2283,五级,电子版,diànzǐbǎn,名
2284,五级,调1,diào,动
2285,五级,调研,diàoyán,动
2286,五级,定期,dìngqī,动、形
2287,五级,丢失,diūshī,动
2288,五级,冻,dòng,动
2289,五级,洞,dòng,名
2290,五级,动画,dònghuà,名
2291,五级,动人,dòngrén,形
2292,五级,动手,dòngshǒu,动
2293,五级,豆腐,dòufu,名
2294,五级,豆浆,dòujiāng,名
2295,五级,独立,dúlì,动、形
2296,五级,独特,dútè,形
2297,五级,读音,dúyīn,名
2298,五级,独自,dúzì,副
2299,五级,堵,dǔ,动、形、量
2300,五级,度,dù,量、名、动、后缀
2301,五级,短处,duǎnchù,名
2302,五级,短期,duǎnqī,名、形
2303,五级,断,duàn,动
2304,五级,堆,duī,动、名、量
2305,五级,对比,duìbǐ,动、名
2306,五级,对待,duìdài,动
2307,五级,对手,duìshǒu,名
2308,五级,队伍,duìwu,名
2309,五级,对象,duìxiàng,名
2310,五级,吨,dūn,量
2311,五级,朵,duǒ,量
2312,五级,躲,duǒ,动
2313,五级,儿女,érnǚ,名
2314,五级,二手,èrshǒu,形
2315,五级,二维码,èrwéimǎ,名
2316,五级,发表,fābiǎo,动
2317,五级,发布,fābù,动
2318,五级,发达,fādá,形、动
2319,五级,发挥,fāhuī,动
2320,五级,发明,fāmíng,动、名
2321,五级,发起,fāqǐ,动
2322,五级,发言,fāyán,动、名
2323,五级,发音,fāyīn,动、名
2324,五级,罚,fá,动
2325,五级,罚款,fákuǎn,动、名
2326,五级,法院,fǎyuàn,名
2327,五级,翻,fān,动
2328,五级,番茄,fānqié,名
2329,五级,繁荣,fánróng,形、动
2330,五级,反,fǎn,形、动、副
2331,五级,反而,fǎn’ér,副
2332,五级,反复,fǎnfù,副、动、名
2333,五级,返回,fǎnhuí,动
2334,五级,反应,fǎnyìng,动、名
2335,五级,反映,fǎnyìng,动
2336,五级,反正,fǎnzhèng,副
2337,五级,范围,fànwéi,名
2338,五级,方,fāng,形、名
2339,五级,方案,fāng’àn,名
2340,五级,防,fáng,动
2341,五级,房屋,fángwū,名
2342,五级,防止,fángzhǐ,动
2343,五级,仿佛,fǎngfú,副
2344,五级,访问,fǎngwèn,动
2345,五级,飞行,fēixíng,动
2346,五级,飞行员,fēixíngyuán,名
2347,五级,非洲,Fēizhōu,名
2348,五级,分别,fēnbié,动、副、名
2349,五级,分布,fēnbù,动
2350,五级,纷纷,fēnfēn,形、副
2351,五级,分类,fēnlèi,动
2352,五级,分离,fēnlí,动
2353,五级,分配,fēnpèi,动
2354,五级,分手,fēnshǒu,动
2355,五级,分析,fēnxī,动
2356,五级,分享,fēnxiǎng,动
2357,五级,奋斗,fèndòu,动
2358,五级,丰富多彩,fēngfù-duōcǎi,
2359,五级,风格,fēnggé,名
2360,五级,疯狂,fēngkuáng,形
2361,五级,风俗,fēngsú,名
2362,五级,风险,fēngxiǎn,名
2363,五级,否定,fǒudìng,动、形
2364,五级,否认,fǒurèn,动
2365,五级,夫妇,fūfù,名
2366,五级,扶,fú,动
2367,五级,福,fú,名
2368,五级,服装,fúzhuāng,名
2369,五级,副1,fù,量
2370,五级,富,fù,形
2371,五级,付出,fùchū,动
2372,五级,负担,fùdān,动、名
2373,五级,妇女,fùnǚ,名
2374,五级,富有,fùyǒu,形、动
2375,五级,复制,fùzhì,动
2376,五级,改革,gǎigé,动
2377,五级,改进,gǎijìn,动
2378,五级,改善,gǎishàn,动
2379,五级,改天,gǎitiān,副
2380,五级,改正,gǎizhèng,动
2381,五级,盖,gài,名、动
2382,五级,概括,gàikuò,动、形
2383,五级,概念,gàiniàn,名
2384,五级,敢于,gǎnyú,动
2385,五级,刚好,gānghǎo,形、副
2386,五级,高大,gāodà,形
2387,五级,高档,gāodàng,形
2388,五级,高度,gāodù,名、形
2389,五级,高级,gāojí,形
2390,五级,高科技,gāokējì,名
2391,五级,高效,gāoxiào,形
2392,五级,搞,gǎo,动
2393,五级,告别,gàobié,动
2394,五级,歌词,gēcí,名
2395,五级,歌曲,gēqǔ,名
2396,五级,隔,gé,动
2397,五级,格外,géwài,副
2398,五级,个别,gèbié,副、形
2399,五级,各行各业,gèháng-gèyè,
2400,五级,个人,gèrén,名
2401,五级,个性,gèxìng,名
2402,五级,各自,gèzì,代
2403,五级,根,gēn,名、量
2404,五级,根本,gēnběn,名、形、副
2405,五级,更换,gēnghuàn,动
2406,五级,更新,gēngxīn,动
2407,五级,公布,gōngbù,动
2408,五级,工程,gōngchéng,名
2409,五级,工程师,gōngchéngshī,名
2410,五级,工具,gōngjù,名
2411,五级,功能,gōngnéng,名
2412,五级,公平,gōngpíng,形
2413,五级,公务员,gōngwùyuán,名
2414,五级,恭喜,gōngxǐ,动
2415,五级,工业,gōngyè,名
2416,五级,工艺,gōngyì,名
2417,五级,公寓,gōngyù,名
2418,五级,贡献,gòngxiàn,动、名
2419,五级,共享,gòngxiǎng,动
2420,五级,沟通,gōutōng,动
2421,五级,构成,gòuchéng,动、名
2422,五级,古,gǔ,形
2423,五级,鼓,gǔ,名、动、形
2424,五级,古代,gǔdài,名
2425,五级,古老,gǔlǎo,形
2426,五级,鼓掌,gǔzhǎng,动
2427,五级,固定,gùdìng,动
2428,五级,故乡,gùxiāng,名
2429,五级,挂号,guàhào,动
2430,五级,怪,guài,形、动、副
2431,五级,关闭,guānbì,动
2432,五级,观察,guānchá,动
2433,五级,观点,guāndiǎn,名
2434,五级,观念,guānniàn,名
2435,五级,冠军,guànjūn,名
2436,五级,光临,guānglín,动
2437,五级,光明,guāngmíng,名、形
2438,五级,光线,guāngxiàn,名
2439,五级,广,guǎng,形
2440,五级,广场,guǎngchǎng,名
2441,五级,广大,guǎngdà,形
2442,五级,广泛,guǎngfàn,形
2443,五级,规律,guīlǜ,名、形
2444,五级,规模,guīmó,名
2445,五级,规则,guīzé,名、形
2446,五级,贵姓,guìxìng,名
2447,五级,柜子,guìzi,名
2448,五级,滚,gǔn,动
2449,五级,锅,guō,名
2450,五级,国画,guóhuà,名
2451,五级,国庆,guóqìng,名
2452,五级,果然,guǒrán,副
2453,五级,果实,guǒshí,名
2454,五级,过度,guòdù,形
2455,五级,过分,guòfèn,形
2456,五级,过敏,guòmǐn,动
2457,五级,过期,guòqī,动
2458,五级,过于,guòyú,副
2459,五级,哈,hā,拟声、叹
2460,五级,海关,hǎiguān,名
2461,五级,海外,hǎiwài,名
2462,五级,海鲜,hǎixiān,名
2463,五级,含,hán,动
2464,五级,含量,hánliàng,名
2465,五级,含有,hányǒu,动
2466,五级,汗水,hànshuǐ,名
2467,五级,行,háng,名、量
2468,五级,行业,hángyè,名
2469,五级,好评,hǎopíng,名
2470,五级,好运,hǎoyùn,名
2471,五级,好转,hǎozhuǎn,动
2472,五级,好,hào,动
2473,五级,好奇,hàoqí,形
2474,五级,合,hé,动
2475,五级,合法,héfǎ,形
2476,五级,盒饭,héfàn,名
2477,五级,合理,hélǐ,形
2478,五级,河流,héliú,名
2479,五级,合同,hétóng,名
2480,五级,合影,héyǐng,动、名
2481,五级,合作,hézuò,动
2482,五级,黑,hēi,形
2483,五级,红,hóng,形
2484,五级,猴子,hóuzi,名
2485,五级,厚度,hòudù,名
2486,五级,后果,hòuguǒ,名
2487,五级,忽视,hūshì,动
2488,五级,呼吸,hūxī,动
2489,五级,湖,hú,名
2490,五级,蝴蝶,húdié,名
2491,五级,胡同,hútòng,名
2492,五级,互动,hùdòng,动
2493,五级,户外,hùwài,名
2494,五级,花费,huāfèi,动
2495,五级,滑,huá,形、动
2496,五级,划,huá,动
2497,五级（六级）,化,huà,后缀、（动）
2498,五级,话费,huàfèi,名
2499,五级,画面,huàmiàn,名
2500,五级,话题,huàtí,名
2501,五级,化学,huàxué,名
2502,五级,环节,huánjié,名
2503,五级,缓解,huǎnjiě,动
2504,五级,缓慢,huǎnmàn,形
2505,五级,黄瓜,huángguā,名
2506,五级,黄金,huángjīn,名
2507,五级,灰,huī,名、形
2508,五级,挥,huī,动
2509,五级,恢复,huīfù,动
2510,五级,灰色,huīsè,名、形
2511,五级,回收,huíshōu,动
2512,五级,汇率,huìlǜ,名
2513,五级,婚礼,hūnlǐ,名
2514,五级,伙,huǒ,量
2515,五级,伙伴,huǒbàn,名
2516,五级,火锅,huǒguō,名
2517,五级,或是,huòshì,副、连
2518,五级,货物,huòwù,名
2519,五级,或许,huòxǔ,副
2520,五级,机构,jīgòu,名
2521,五级,激烈,jīliè,形
2522,五级,机器,jīqì,名
2523,五级,机器人,jīqìrén,名
2524,五级,肌肉,jīròu,名
2525,五级,及,jí,连
2526,五级,级,jí,名、量
2527,五级,集,jí,名、量
2528,五级,疾病,jíbìng,名
2529,五级,及格,jígé,动
2530,五级,集合,jíhé,动
2531,五级,即将,jíjiāng,副
2532,五级,急忙,jímáng,副
2533,五级,极其,jíqí,副
2534,五级,集体,jítǐ,名
2535,五级,急需,jíxū,动
2536,五级,急诊,jízhěn,动、名
2537,五级,集中,jízhōng,动、形
2538,五级,挤,jǐ,动、形
2539,五级,系,jì,动
2540,五级,季度,jìdù,名
2541,五级,记录,jìlù,动、名
2542,五级,纪录,jìlù,名
2543,五级,纪录片,jìlùpiàn,名
2544,五级,技能,jìnéng,名
2545,五级,纪念,jìniàn,动、名
2546,五级,纪念日,jìniànrì,名
2547,五级,计算,jìsuàn,动
2548,五级,计算机,jìsuànjī,名
2549,五级,记忆,jìyì,动、名
2550,五级,记载,jìzǎi,动
2551,五级,嘉宾,jiābīn,名
2552,五级,家电,jiādiàn,名
2553,五级,加工,jiāgōng,动
2554,五级,加热,jiārè,动
2555,五级,加深,jiāshēn,动
2556,五级,加速,jiāsù,动
2557,五级,家务,jiāwù,名
2558,五级,甲,jiǎ,名
2559,五级,假如,jiǎrú,连
2560,五级,架,jià,名、动、量
2561,五级,驾驶,jiàshǐ,动
2562,五级,驾照,jiàzhào,名
2563,五级,价值,jiàzhí,名
2564,五级,艰苦,jiānkǔ,形
2565,五级,坚强,jiānqiáng,形
2566,五级,捡,jiǎn,动
2567,五级,剪,jiǎn,动
2568,五级,剪刀,jiǎndāo,名
2569,五级,减肥,jiǎnféi,动
2570,五级,简历,jiǎnlì,名
2571,五级,简直,jiǎnzhí,副
2572,五级,建,jiàn,动
2573,五级,键,jiàn,名
2574,五级,渐渐,jiànjiàn,副
2575,五级,建立,jiànlì,动
2576,五级,键盘,jiànpán,名
2577,五级,建设,jiànshè,动
2578,五级,建造,jiànzào,动
2579,五级,建筑,jiànzhù,动、名
2580,五级,将近,jiāngjìn,副
2581,五级,讲话,jiǎnghuà,名
2582,五级,讲究,jiǎngjiu,动、形
2583,五级,奖励,jiǎnglì,动
2584,五级,讲述,jiǎngshù,动
2585,五级,讲座,jiǎngzuò,名
2586,五级,降水,jiàngshuǐ,动
2587,五级,浇,jiāo,动
2588,五级,交换,jiāohuàn,动
2589,五级,交往,jiāowǎng,动
2590,五级,交易,jiāoyì,动、名
2591,五级,脚步,jiǎobù,名
2592,五级,角度,jiǎodù,名
2593,五级,较,jiào,介、副
2594,五级,教材,jiàocái,名
2595,五级,接触,jiēchù,动
2596,五级,接待,jiēdài,动
2597,五级,阶段,jiēduàn,名
2598,五级,接近,jiējìn,动
2599,五级,接收,jiēshōu,动
2600,五级,结,jié,动、名
2601,五级,结构,jiégòu,名
2602,五级,结合,jiéhé,动
2603,五级,结论,jiélùn,名
2604,五级,节省,jiéshěng,动
2605,五级,届,jiè,量
2606,五级,今日,jīnrì,名
2607,五级,紧,jǐn,形、动
2608,五级,紧急,jǐnjí,形
2609,五级,尽快,jǐnkuài,副
2610,五级,尽量,jǐnliàng,副
2611,五级,紧密,jǐnmì,形
2612,五级,谨慎,jǐnshèn,形
2613,五级,进步,jìnbù,动、形
2614,五级,近代,jìndài,名
2615,五级,进口,jìnkǒu,动
2616,五级,尽力,jìnlì,动
2617,五级,近年来,jìnnián lái,
2618,五级,近期,jìnqī,名
2619,五级,近日,jìnrì,名
2620,五级,进一步,jìnyíbù,副
2621,五级,经典,jīngdiǎn,名、形
2622,五级,精力,jīnglì,名
2623,五级,精神,jīngshen,名、形
2624,五级,惊喜,jīngxǐ,形
2625,五级,经营,jīngyíng,动
2626,五级,静,jìng,形、动
2627,五级,酒吧,jiǔbā,名
2628,五级,久远,jiǔyuǎn,形
2629,五级,救,jiù,动
2630,五级,救护车,jiùhùchē,名
2631,五级,就业,jiùyè,动
2632,五级,居民,jūmín,名
2633,五级,居然,jūrán,副
2634,五级,居住,jūzhù,动
2635,五级,橘子,júzi,名
2636,五级,据,jù,介
2637,五级,距,jù,动
2638,五级,具备,jùbèi,动
2639,五级,剧场,jùchǎng,名
2640,五级,巨大,jùdà,形
2641,五级,据说,jùshuō,动
2642,五级,具体,jùtǐ,形、动
2643,五级,具有,jùyǒu,动
2644,五级,捐,juān,动
2645,五级,绝对,juéduì,形、副
2646,五级,决赛,juésài,动、名
2647,五级,角色,juésè,名
2648,五级,决心,juéxīn,名、动
2649,五级,开发,kāifā,动
2650,五级,开放,kāifàng,动、形
2651,五级,开幕,kāimù,动
2652,五级,开幕式,kāimùshì,名
2653,五级,开水,kāishuǐ,名
2654,五级,开通,kāitōng,动
2655,五级,开业,kāiyè,动
2656,五级,开展,kāizhǎn,动
2657,五级,看,kān,动
2658,五级,看望,kànwàng,动
2659,五级,看作,kànzuò,动
2660,五级,靠,kào,动
2661,五级,靠近,kàojìn,动
2662,五级,颗,kē,量
2663,五级,科研,kēyán,动
2664,五级,可见,kějiàn,连
2665,五级,可靠,kěkào,形
2666,五级,可怕,kěpà,形
2667,五级,克服,kèfú,动
2668,五级,客服,kèfú,形
2669,五级,客观,kèguān,形
2670,五级,客户,kèhù,名
2671,五级,空间,kōngjiān,名
2672,五级,空中,kōngzhōng,名、形
2673,五级,控制,kòngzhì,动
2674,五级,口袋,kǒudai,名
2675,五级,口味,kǒuwèi,名
2676,五级,库,kù,名
2677,五级（六级）,宽,kuān,形、名、（动）
2678,五级,宽度,kuāndù,名
2679,五级,亏,kuī,动
2680,五级,昆虫,kūnchóng,名
2681,五级,扩大,kuòdà,动
2682,五级,来源,láiyuán,名、动
2683,五级,劳动,láodòng,名、动
2684,五级,老百姓,lǎobǎixìng,名
2685,五级,老板,lǎobǎn,名
2686,五级,老公,lǎogōng,名
2687,五级,姥姥,lǎolao,名
2688,五级,老婆,lǎopo,名
2689,五级,姥爷,lǎoye,名
2690,五级,乐观,lèguān,形
2691,五级,乐趣,lèqù,名
2692,五级,泪,lèi,名
2693,五级,类,lèi,名、量
2694,五级,泪水,lèishuǐ,名
2695,五级,类似,lèisì,动
2696,五级,类型,lèixíng,名
2697,五级,梨,lí,名
2698,五级,离婚,líhūn,动
2699,五级,厘米,límǐ,量
2700,五级,离职,lízhí,动
2701,五级,理论,lǐlùn,名、动
2702,五级,里头,lǐtou,名
2703,五级,理由,lǐyóu,名
2704,五级,力,lì,名、后缀
2705,五级,立即,lìjí,副
2706,五级,立刻,lìkè,副
2707,五级,力量,lìliàng,名
2708,五级,利润,lìrùn,名
2709,五级,利益,lìyì,名
2710,五级,利用,lìyòng,动
2711,五级,联合,liánhé,动、形
2712,五级,连接,liánjiē,动
2713,五级,连忙,liánmáng,副
2714,五级,连续,liánxù,动
2715,五级,脸色,liǎnsè,名
2716,五级,恋爱,liàn’ài,动、名
2717,五级,良好,liánghǎo,形
2718,五级,粮食,liángshi,名
2719,五级,量,liàng,名
2720,五级,了不起,liǎobuqǐ,形
2721,五级,列车,lièchē,名
2722,五级,临时,línshí,副、形
2723,五级,铃,líng,名
2724,五级,灵活,línghuó,形
2725,五级,领,lǐng,名、动
2726,五级,领带,lǐngdài,名
2727,五级,领导,lǐngdǎo,动、名
2728,五级,领取,lǐngqǔ,动
2729,五级,领先,lǐngxiān,动
2730,五级,领域,lǐngyù,名
2731,五级,令,lìng,动、名
2732,五级,流传,liúchuán,动
2733,五级,流感,liúgǎn,名
2734,五级,浏览,liúlǎn,动
2735,五级,留言,liúyán,动、名
2736,五级,龙,lóng,名
2737,五级,漏,lòu,动
2738,五级,录,lù,动
2739,五级,陆地,lùdì,名
2740,五级,录取,lùqǔ,动
2741,五级,路人,lùrén,名
2742,五级,路线,lùxiàn,名
2743,五级,陆续,lùxù,副
2744,五级,录音,lùyīn,动、名
2745,五级,旅行社,lǚxíngshè,名
2746,五级,论文,lùnwén,名
2747,五级,逻辑,luójí,名
2748,五级,骂,mà,动
2749,五级,买卖,mǎimai,名
2750,五级,满足,mǎnzú,动
2751,五级,忙碌,mánglù,形
2752,五级,毛笔,máobǐ,名
2753,五级,毛病,máobìng,名
2754,五级,矛盾,máodùn,名、动、形
2755,五级,没法儿,méifǎr,动
2756,五级,玫瑰,méigui,名
2757,五级,媒体,méitǐ,名
2758,五级,美术,měishù,名
2759,五级,美味,měiwèi,名
2760,五级,魅力,mèilì,名
2761,五级,门诊,ménzhěn,动
2762,五级,迷,mí,动
2763,五级,迷路,mílù,动
2764,五级,秘密,mìmì,形、名
2765,五级,密切,mìqiè,形、动
2766,五级,秘书,mìshū,名
2767,五级,面2,miàn,名
2768,五级,面积,miànjī,名
2769,五级,面临,miànlín,动
2770,五级,面向,miànxiàng,动
2771,五级,描述,miáoshù,动
2772,五级,敏感,mǐngǎn,形
2773,五级,名称,míngchēng,名
2774,五级,名牌,míngpái,名
2775,五级,名片,míngpiàn,名
2776,五级,明确,míngquè,形、动
2777,五级,明显,míngxiǎn,形
2778,五级,明星,míngxīng,名
2779,五级,命1,mìng,名
2780,五级,命运,mìngyùn,名
2781,五级,摸,mō,动
2782,五级,模糊,móhu,形、动
2783,五级,模式,móshì,名
2784,五级,陌生,mòshēng,形
2785,五级,某,mǒu,代
2786,五级,目光,mùguāng,名
2787,五级,木头,mùtou,名
2788,五级,哪怕,nǎpà,连
2789,五级,难得,nándé,形
2790,五级,难度,nándù,名
2791,五级,难以,nányǐ,动
2792,五级,男子,nánzǐ,名
2793,五级,闹,nào,形、动
2794,五级,闹钟,nàozhōng,名
2795,五级,内部,nèibù,名
2796,五级,能干,nénggàn,形
2797,五级,年初,niánchū,名
2798,五级,年代,niándài,名
2799,五级,年纪,niánjì,名
2800,五级,年夜饭,niányèfàn,名
2801,五级,念,niàn,动
2802,五级,牛仔裤,niúzǎikù,名
2803,五级,浓,nóng,形
2804,五级,农民,nóngmín,名
2805,五级,农业,nóngyè,名
2806,五级,女子,nǚzǐ,名
2807,五级,哦,ò,叹
2808,五级,欧洲,Ōuzhōu,名
2809,五级,偶然,ǒurán,形
2810,五级,拍摄,pāishè,动
2811,五级,排列,páiliè,动
2812,五级（七-九级）,派,pài,动、（名、量）
2813,五级,派出所,pàichūsuǒ,名
2814,五级,跑道,pǎodào,名
2815,五级,赔,péi,动
2816,五级,陪伴,péibàn,动
2817,五级,培训,péixùn,动
2818,五级,培养,péiyǎng,动
2819,五级,配,pèi,动、形
2820,五级,配合,pèihé,动
2821,五级,配送,pèisòng,动
2822,五级,盆,pén,名
2823,五级,碰,pèng,动
2824,五级,碰见,pèngjiàn,动
2825,五级,批1,pī,量
2826,五级,批2,pī,动
2827,五级,批准,pīzhǔn,动
2828,五级,匹,pǐ,量
2829,五级,骗,piàn,动
